,price,property_type,subproperty_type,locality,construction_year,total_area_sqm,nbr_bedrooms,fl_furnished,fl_open_fire,terrace_sqm,garden_sqm,fl_swimming_pool,fl_floodzone,primary_energy_consumption_sqm,heating_type,fl_double_glazing,cadastral_income,kitchen_type,state_of_building
12929,298500.0,APARTMENT,APARTMENT,Gent,1969.0,55.0,1.0,0,0,0.0,0.0,0,0,135.0,GAS,1,704.0,3.0,5.0
12930,268000.0,APARTMENT,APARTMENT,Tournai,2024.0,134.0,3.0,0,0,27.0,20.0,0,0,19933.0,GAS,1,1093.4759935148454,3.0,6.0
12931,375000.0,HOUSE,HOUSE,Nivelles,1970.0,170.0,4.0,0,0,10.0,250.0,0,1,311.0,GAS,1,2285.0,3.0,3.0
12932,469000.0,HOUSE,HOUSE,Sint-Niklaas,1996.0,162.0,4.0,0,0,40.0,103.0,0,1,114.0,GAS,0,1003.0,3.0,6.0
12933,230000.0,APARTMENT,APARTMENT,Antwerp,1970.0,106.0,2.0,0,1,28.0,0.0,0,1,241.0,GAS,1,1040.888523432037,3.488029649746016,4.0
12934,475000.0,HOUSE,HOUSE,Tongeren,1990.0,358.0,4.0,0,0,0.0,0.0,0,0,184.0,GAS,0,1379.9393176767721,3.614854701758647,4.123246462217237
12935,235000.0,APARTMENT,APARTMENT,Antwerp,1964.0,90.0,2.0,0,0,3.0,0.0,0,0,176.0,GAS,1,661.0,4.0429994511561755,6.0
12936,630000.0,APARTMENT,APARTMENT,Brugge,1988.0,50.0,2.0,1,0,0.0,0.0,0,1,164.0,GAS,1,1594.44084055021,4.0,5.0
12937,259000.0,HOUSE,HOUSE,Oudenaarde,1960.0,260.0,4.0,0,1,12.0,250.0,0,0,513.0,GAS,1,609.0,3.0,1.0
12938,745000.0,HOUSE,VILLA,Gent,1965.0,439.0,4.0,0,0,0.0,0.0,0,0,338.0,GAS,1,2426.0,3.7485195112074443,4.236527385612405
12939,375000.0,APARTMENT,APARTMENT,Antwerp,1988.0,94.0,3.0,0,0,0.0,20.0,0,0,221.0,GAS,1,1023.0,4.096025822704059,6.0
12940,220000.0,APARTMENT,KOT,Brugge,2016.0,60.0,1.0,0,0,0.0,0.0,0,0,86.0,GAS,1,573.0,3.4886287481717924,4.016176657010874
12941,299995.0,HOUSE,HOUSE,Liège,1977.0,120.0,4.0,0,1,5.0,120.0,0,1,267.0,GAS,1,1125.0,3.0,4.0
12942,275000.0,APARTMENT,APARTMENT,Hasselt,2020.0,73.0,1.0,0,0,9.0,0.0,0,0,119.0,GAS,1,963.0,3.51586837414395,4.039167912019
12943,150000.0,APARTMENT,APARTMENT,Antwerp,1967.0,81.0,2.0,0,0,8.0,0.0,0,0,164.0,FUELOIL,1,733.0,1.0,1.0
12944,289000.0,HOUSE,HOUSE,Mechelen,1959.0,129.0,3.0,0,0,0.0,0.0,0,0,756.0,FUELOIL,1,671.0,2.680542690269807,1.0
12945,530000.0,APARTMENT,APARTMENT,Kortrijk,2019.0,149.0,2.0,0,0,30.0,0.0,0,0,0.0,GAS,1,1456.052761289256,3.0,3.7312841853685246
12946,585000.0,APARTMENT,APARTMENT,Brussels,2023.0,114.0,1.0,0,0,0.0,0.0,0,1,111.0,GAS,1,1532.166204854535,5.0,6.0
12947,345000.0,HOUSE,HOUSE,Mouscron,1995.0,170.0,3.0,0,0,0.0,0.0,0,0,208.0,GAS,1,889.0,3.5504992088068708,4.068700623761698
12948,245000.0,APARTMENT,APARTMENT,Oostend,2000.0,98.0,3.0,0,0,0.0,3.0,0,0,91.0,GAS,1,1061.6467353247267,3.493707482556104,4.0
12949,289000.0,APARTMENT,APARTMENT,Brussels,1970.0,125.0,3.0,0,0,3.0,0.0,0,0,140.0,GAS,1,1450.0,5.0,4.0
12950,280000.0,HOUSE,HOUSE,Veurne,1930.0,165.0,3.0,0,0,0.0,0.0,0,0,157.0,GAS,1,436.0,3.5183074474558484,4.0415253810933915
12951,295000.0,APARTMENT,APARTMENT,Sint-Niklaas,1962.0,105.0,2.0,0,0,13.0,25.0,0,0,190.0,GAS,1,1130.8407749649793,3.0,4.0
12952,745000.0,HOUSE,VILLA,Nivelles,1986.0,216.0,4.0,0,0,32.0,1500.0,0,0,226.0,FUELOIL,1,4300.0,4.0,6.0
12953,199000.0,APARTMENT,APARTMENT,Veurne,1950.0,41.0,1.0,0,0,0.0,0.0,0,0,356.0,ELECTRIC,1,997.988218808576,3.0,6.0
12954,227135.0,APARTMENT,APARTMENT,Charleroi,2023.0,94.0,2.0,0,0,8.0,0.0,0,0,109.0,GAS,1,1.0,3.4867403755723396,4.0
12956,320000.0,APARTMENT,APARTMENT,Liège,2024.0,105.0,2.0,0,0,9.0,0.0,0,1,45.0,GAS,1,1165.4377947924777,3.0,3.7052527193406783
12957,765000.0,APARTMENT,APARTMENT,Brugge,1971.0,90.0,3.0,0,0,0.0,0.0,0,1,215.0,GAS,0,1781.264747604646,3.6905390199724666,4.0
12958,298000.0,HOUSE,HOUSE,Mechelen,1935.0,133.0,4.0,0,0,0.0,0.0,0,0,290.0,GAS,1,1134.992417349958,3.0,3.7025256133758564
12959,205000.0,APARTMENT,APARTMENT,Mouscron,2022.0,58.0,1.0,0,0,0.0,54.0,0,1,49.0,GAS,1,1006.2915035656429,3.0,6.0
12960,309000.0,HOUSE,HOUSE,Kortrijk,1950.0,157.0,3.0,0,0,0.0,0.0,0,0,185.0,GAS,1,314.0,3.5177675779837245,4.0
12961,995000.0,APARTMENT,APARTMENT,Brugge,1988.0,100.0,3.0,0,0,0.0,0.0,0,0,117.0,GAS,0,1482.0,3.7774770284051655,4.0
12962,199000.0,HOUSE,BUNGALOW,Veurne,1973.0,59.0,2.0,0,0,0.0,0.0,0,0,392.0,ELECTRIC,1,624.0,3.4762215223049577,4.0
12963,715000.0,HOUSE,HOUSE,Brussels,1906.0,220.0,4.0,0,0,50.0,0.0,0,1,441.0,GAS,1,1083.0,3.0,6.0
12964,1800000.0,HOUSE,APARTMENT_BLOCK,Brussels,1899.0,850.0,11.0,0,1,0.0,0.0,0,1,392.0,GAS,0,5000.0,1.0,3.0
12965,1395000.0,HOUSE,MANOR_HOUSE,Gent,1850.0,255.0,2.0,0,0,36.0,0.0,0,0,129.0,GAS,1,2111.0,4.0701161976645786,4.510582815981492
12966,235000.0,APARTMENT,APARTMENT,Brussels,1970.0,75.0,1.0,0,0,24.0,0.0,0,0,147.0,GAS,1,1896.0,5.0,4.0
12967,259000.0,HOUSE,HOUSE,Hasselt,1984.0,145.0,2.0,0,0,0.0,0.0,0,0,961.0,FUELOIL,1,788.0,3.0,1.0
12968,330000.0,APARTMENT,APARTMENT,Leuven,1960.0,90.0,2.0,0,0,0.0,0.0,0,0,261.0,GAS,1,922.0,3.5430794511873396,4.0623640369112675
12969,289000.0,APARTMENT,DUPLEX,Gent,1954.0,114.0,3.0,0,0,0.0,4.0,0,0,348.0,GAS,1,1122.5374902716362,2.6806319618427588,1.0
12970,459000.0,HOUSE,HOUSE,Veurne,1979.0,126.0,5.0,0,0,0.0,0.0,0,0,209.0,GAS,1,661.0,3.0,5.0
12971,349000.0,APARTMENT,GROUND_FLOOR,Antwerp,2022.0,88.0,1.0,0,0,0.0,125.0,0,1,47.0,GAS,1,811.0,3.0,3.709047326662798
12972,219500.0,APARTMENT,APARTMENT,Antwerp,2016.0,60.0,1.0,0,0,4.0,0.0,0,0,89.0,GAS,1,745.0,3.0,4.0
12973,445000.0,HOUSE,HOUSE,Hasselt,1964.0,215.0,2.0,0,0,0.0,0.0,0,0,263.0,GAS,0,1338.4228938916517,3.6000084207334035,4.110625682031837
12974,165000.0,APARTMENT,APARTMENT,Leuven,1978.0,79.0,2.0,0,0,0.0,0.0,0,0,233.0,GAS,1,674.0,3.0,3.6861792414898225
12975,330000.0,APARTMENT,APARTMENT,Mouscron,2022.0,118.0,2.0,0,0,13.0,0.0,0,1,28.0,GAS,1,1179.2766026712038,3.0,6.0
12976,360000.0,HOUSE,HOUSE,Brussels,1920.0,135.0,4.0,0,0,0.0,0.0,0,1,318.0,GAS,1,1220.793026499871,3.0,4.0
12977,325000.0,APARTMENT,APARTMENT,Oostend,2003.0,108.0,2.0,0,0,0.0,0.0,0,0,140.0,GAS,1,932.0,3.540606132408682,4.060252316630615
12978,695000.0,HOUSE,HOUSE,Brugge,1958.0,155.0,3.0,0,0,24.0,57.0,0,0,72.0,GAS,1,599.0,5.0,6.0
12979,214500.0,APARTMENT,APARTMENT,Antwerp,1974.0,104.0,2.0,0,0,19.0,0.0,0,0,160.0,FUELOIL,0,1041.0,3.0,4.0
12980,120000.0,HOUSE,HOUSE,Charleroi,1900.0,115.0,3.0,0,0,16.0,265.0,0,0,313.0,GAS,1,327.0,3.0,4.0
12981,160000.0,APARTMENT,APARTMENT,Liège,1958.0,90.0,2.0,0,0,0.0,0.0,0,1,284.0,GAS,1,1142.0,3.4589786640553175,3.9906225877080566
12982,199000.0,APARTMENT,APARTMENT,Antwerp,1972.0,100.0,2.0,0,0,15.0,0.0,0,0,167.0,GAS,1,840.0,3.0,6.0
12983,169000.0,APARTMENT,APARTMENT,Brussels,1970.0,72.0,1.0,0,0,3.0,0.0,0,0,704.0,GAS,1,956.4717950882405,3.0,3.0
12984,335000.0,HOUSE,HOUSE,Halle-Vilvoorde,1955.0,144.0,3.0,0,0,82.0,825.0,0,0,501.0,FUELOIL,0,1321.0,3.0,1.0
12985,749000.0,APARTMENT,APARTMENT,Veurne,2012.0,152.0,3.0,0,0,30.0,0.0,0,1,132.0,GAS,0,1252.0,5.0,4.0
12986,300000.0,APARTMENT,APARTMENT,Brussels,1974.0,130.0,3.0,1,0,15.0,0.0,0,1,234.0,ELECTRIC,1,1137.7601788938564,5.0,6.0
